,Binomial,Range_km_2,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
215,Apodemus alpicola,110807.34605355,28.055,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
216,Apodemus argenteus,366528.089798475,15,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
217,Apodemus chevrieri,720376.740441414,32.9,RODENTIA,MURIDAE,Apodemus,LC,Herbivore
218,Apodemus draco,1798329.64571225,22.25,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
219,Apodemus epimelas,174078.492113075,63.85388804,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
220,Apodemus flavicollis,6065964.0544392,31.6,RODENTIA,MURIDAE,Apodemus,LC,Herbivore
221,Apodemus gurkha,12707.0594918557,39.9,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
222,Apodemus hyrcanicus,48660.5411982123,63.85388804,RODENTIA,MURIDAE,Apodemus,NT,Omnivore
223,Apodemus latronum,536399.814810143,35.2,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
224,Apodemus mystacinus,804438.722527009,43.84,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
225,Apodemus pallipes,783208.23489141,63.85388804,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
226,Apodemus peninsulae,8903125.5810639,32.9,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
227,Apodemus ponticus,347729.915451803,26.7,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
228,Apodemus rusiges,112770.368103877,21.5,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
229,Apodemus semotus,33914.8935818615,25.77,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
230,Apodemus speciosus,368742.871822175,43.75,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
231,Apodemus sylvaticus,5002012.7711633,21.9,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
232,Apodemus uralensis,7231624.99396552,18.26,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
233,Apodemus witherbyi,1581833.06901582,20.66,RODENTIA,MURIDAE,Apodemus,LC,Omnivore
234,Apomys abrae,12463.7605498556,34.88,RODENTIA,MURIDAE,Apomys,LC,Omnivore
235,Apomys camiguinensis,73.715561294121,32.69125,RODENTIA,MURIDAE,Apomys,VU,Omnivore
236,Apomys datae,11591.2675831911,34.88,RODENTIA,MURIDAE,Apomys,LC,Omnivore
237,Apomys gracilirostris,571.339571670766,32.69125,RODENTIA,MURIDAE,Apomys,LC,Omnivore
238,Apomys hylocetes,4399.27752726671,34.88,RODENTIA,MURIDAE,Apomys,LC,Omnivore
239,Apomys insignis,94959.7354059293,34.88,RODENTIA,MURIDAE,Apomys,LC,Omnivore
240,Apomys littoralis,7898.75818983524,30.95,RODENTIA,MURIDAE,Apomys,DD,Omnivore
241,Apomys microdon,61955.6275257263,34.98,RODENTIA,MURIDAE,Apomys,LC,Omnivore
242,Apomys musculus,47773.8431779469,21.2,RODENTIA,MURIDAE,Apomys,LC,Omnivore
243,Apomys sacobianus,951.481365261713,34.88,RODENTIA,MURIDAE,Apomys,LC,Omnivore
245,Arabitragus jayakari,24654.8881191138,23000,CETARTIODACTYLA,BOVIDAE,Arabitragus,EN,Herbivore
246,Arborimus albipes,77765.4059130399,23,RODENTIA,CRICETIDAE,Arborimus,LC,Herbivore
247,Arborimus longicaudus,54111.6505518405,22.39,RODENTIA,CRICETIDAE,Arborimus,NT,Herbivore
248,Arborimus pomo,22002.9329153111,32.49,RODENTIA,CRICETIDAE,Arborimus,NT,Herbivore
249,Archboldomys luzonensis,22.2112362206137,35.34,RODENTIA,MURIDAE,Archboldomys,VU,Insectivore
250,Arctictis binturong,2942961.66524513,12999.99,CARNIVORA,VIVERRIDAE,Arctictis,VU,Omnivore
251,Arctocebus aureus,667480.506286627,234.16,PRIMATES,LORISIDAE,Arctocebus,LC,Omnivore
252,Arctocebus calabarensis,148434.873974861,258.01,PRIMATES,LORISIDAE,Arctocebus,LC,Omnivore
253,Arctogalidia trivirgata,2539651.06803057,2323.79,CARNIVORA,VIVERRIDAE,Arctogalidia,LC,Omnivore
254,Arctonyx collaris,1373160.51355895,8166.52,CARNIVORA,MUSTELIDAE,Arctonyx,VU,Omnivore
255,Ardops nichollsi,4742.70784448862,19.23,CHIROPTERA,PHYLLOSTOMIDAE,Ardops,LC,Herbivore
256,Arielulus aureocollaris,2503.20920370078,10.4,CHIROPTERA,VESPERTILIONIDAE,Arielulus,LC,Insectivore
257,Arielulus circumdatus,170858.559762941,10.4,CHIROPTERA,VESPERTILIONIDAE,Arielulus,LC,Insectivore
258,Arielulus cuprosus,2630.00433440237,10.4,CHIROPTERA,VESPERTILIONIDAE,Arielulus,VU,Insectivore
259,Arielulus societatis,12278.0235847477,10.4,CHIROPTERA,VESPERTILIONIDAE,Arielulus,VU,Insectivore
260,Arielulus torquatus,23911.1423061245,10.4,CHIROPTERA,VESPERTILIONIDAE,Arielulus,LC,Insectivore
261,Ariteus flavescens,11021.0088712223,22.96761263,CHIROPTERA,PHYLLOSTOMIDAE,Ariteus,LC,Omnivore
262,Artibeus amplus,1459812.55527225,61.04,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,LC,Omnivore
