,binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
85,Akodon molinae,429193.487575575,32.99,LC,Omnivore,RODENTIA
86,Akodon mollis,265351.806490431,30.39,LC,Omnivore,RODENTIA
87,Akodon montensis,1050409.3712121001,34.65,LC,Omnivore,RODENTIA
88,Akodon mystax,470.56441527580597,32.51675676,DD,Omnivore,RODENTIA
89,Akodon orophilus,33882.5213339711,38.99,LC,Omnivore,RODENTIA
90,Akodon paranaensis,482668.960977056,32.51675676,LC,Omnivore,RODENTIA
91,Akodon pervalens,29095.8518961263,32.51675676,DD,Omnivore,RODENTIA
92,Akodon philipmyersi,2113.64518534118,23.0,DD,Omnivore,RODENTIA
93,Akodon reigi,65868.0713318508,32.51675676,LC,Omnivore,RODENTIA
94,Akodon sanctipaulensis,758.196660021224,27.1,DD,Omnivore,RODENTIA
95,Akodon serrensis,275871.625048412,28.3,LC,Omnivore,RODENTIA
96,Akodon siberiae,25253.9039888276,34.6,NT,Omnivore,RODENTIA
97,Akodon simulator,156808.587440728,42.5,LC,Omnivore,RODENTIA
98,Akodon spegazzinii,56727.7142555455,28.6,LC,Omnivore,RODENTIA
99,Akodon subfuscus,171092.782757145,30.39,LC,Omnivore,RODENTIA
100,Akodon surdus,16434.639082569898,38.99,VU,Omnivore,RODENTIA
101,Akodon sylvanus,39317.4225683455,38.99,LC,Omnivore,RODENTIA
102,Akodon toba,443710.583711491,51.2,LC,Omnivore,RODENTIA
103,Akodon torques,66658.2628670339,38.99,LC,Omnivore,RODENTIA
104,Akodon varius,244639.989062437,40.0,DD,Omnivore,RODENTIA
107,Alionycteris paucidentata,5062.76098802025,16.24,LC,Herbivore,CHIROPTERA
108,Allactaga balikunica,234833.46355184898,72.5,LC,Omnivore,RODENTIA
109,Allactaga bullata,1563030.11007081,72.5,LC,Omnivore,RODENTIA
110,Allactaga elater,3246019.05576239,59.0,LC,Omnivore,RODENTIA
111,Allactaga euphratica,734308.906934771,232.0,NT,Herbivore,RODENTIA
112,Allactaga firouzi,1316.18605183535,114.19645390000001,DD,Herbivore,RODENTIA
