,binomial,Range_km_2,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
3087,Nyctophilus microdon,2020.7821573143144,2020.80139102508,8.465,DD,Insectivore,CHIROPTERA
3088,Nyctophilus microtis,166517.36969583697,166520.159149007,7.29,LC,Insectivore,CHIROPTERA
3089,Nyctophilus nebulosus,0.243998332330648,0.243998334940571,8.465,CR,Insectivore,CHIROPTERA
3090,Nyctophilus sherrini,48861.20796918097,48863.2255161942,8.465,DD,Insectivore,CHIROPTERA
3091,Nyctophilus walkeri,397677.503063476,397742.811440691,4.44,LC,Insectivore,CHIROPTERA
3092,Ochotona alpina,574997.0195156252,575027.31111566,150.0,LC,Herbivore,LAGOMORPHA
3093,Ochotona argentata,95.49276393622299,95.49288390729191,140.5955,EN,Herbivore,LAGOMORPHA
3094,Ochotona cansus,700148.1299067953,700176.488216723,68.75,LC,Herbivore,LAGOMORPHA
3095,Ochotona collaris,846217.3661165942,846253.851016633,129.0,LC,Herbivore,LAGOMORPHA
3096,Ochotona curzoniae,2250042.2576663946,2222007.28705878,159.47,LC,Herbivore,LAGOMORPHA
3097,Ochotona dauurica,2055005.2720563638,2054524.22221698,131.01,LC,Herbivore,LAGOMORPHA
3098,Ochotona erythrotis,543394.2175587754,543314.782233482,181.0,LC,Herbivore,LAGOMORPHA
3099,Ochotona forresti,38531.51840981075,38532.7803062603,125.0,LC,Herbivore,LAGOMORPHA
3100,Ochotona gloveri,417996.5138939725,417996.814650212,181.0,LC,Herbivore,LAGOMORPHA
3101,Ochotona hoffmanni,1241.7193205453,1241.7002656878099,157.37719230000002,EN,Herbivore,LAGOMORPHA
3102,Ochotona hyperborea,8990523.921495747,8990050.46995655,120.0,LC,Herbivore,LAGOMORPHA
3103,Ochotona iliensis,11184.22515844523,32973.374177723796,165.0,EN,Herbivore,LAGOMORPHA
3104,Ochotona koslowi,44741.08088925566,4849.15162067452,188.6965,EN,Herbivore,LAGOMORPHA
3105,Ochotona ladacensis,786683.6408119192,786588.389389436,131.475,LC,Herbivore,LAGOMORPHA
3106,Ochotona macrotis,2931152.5194577007,2931190.69912368,204.75,LC,Herbivore,LAGOMORPHA
3107,Ochotona nubrica,491648.5591900809,491704.99633651,235.0,LC,Herbivore,LAGOMORPHA
3108,Ochotona princeps,894649.3410241834,894661.4109297341,157.63,LC,Herbivore,LAGOMORPHA
3109,Ochotona pusilla,1530047.0717784388,1530161.49697874,142.5,LC,Herbivore,LAGOMORPHA
3110,Ochotona roylei,493819.35332652275,493849.81394530204,260.0,LC,Herbivore,LAGOMORPHA
3111,Ochotona rufescens,946118.2974804452,946120.658205493,250.0,LC,Herbivore,LAGOMORPHA
3112,Ochotona rutila,206938.33987506776,206938.68087229397,250.0,LC,Herbivore,LAGOMORPHA
3113,Ochotona thibetana,729700.983549936,729354.2946411179,83.1,LC,Herbivore,LAGOMORPHA
3114,Ochotona thomasi,232165.33780907167,328463.40951841604,97.5,LC,Herbivore,LAGOMORPHA
3115,Ochotona turuchanensis,1641634.3021125707,1642743.89290138,120.0,LC,Herbivore,LAGOMORPHA
3116,Ochrotomys nuttalli,1444488.431747231,1444556.93965633,22.81,LC,Herbivore,RODENTIA
