Intercept,BM,I_BM_2,I_BM_3,DietHerbivore,DietOmnivore,NPP,I_NPP_2,Pwq,I_Pwq_2,Pcv,I_Pcv_2
-54.43691658,NA,NA,NA,NA,NA,10.00098603,-0.447529499,NA,NA,NA,NA
-60.3951322,NA,NA,NA,NA,NA,11.18668404,-0.503575937,NA,NA,-0.004453032,NA
-59.62884852,NA,NA,NA,NA,NA,11.05491959,-0.497485938,NA,NA,-0.006469745,1.36562442384164E-05
-57.04679147,NA,NA,NA,NA,NA,10.51553597,-0.473404014,0.000373482,NA,NA,NA
-57.48082753,NA,NA,NA,NA,NA,10.61911446,-0.479809115,0.000867313,-4.41043697424814E-07,NA,NA
-61.75843814,NA,NA,NA,NA,NA,11.46340664,-0.518464454,0.000497954,-2.16125845729849E-07,-0.003990156,NA
-61.05576095,NA,NA,NA,NA,NA,11.34218079,-0.512831285,0.000488836,-2.08740930551729E-07,-0.00583614,1.24565673358321E-05
-61.71953623,NA,NA,NA,NA,NA,11.44730213,-0.516943115,0.000251022,NA,-0.004145808,NA
-60.9682045,NA,NA,NA,NA,NA,11.31800869,-0.510963584,0.000250288,NA,-0.006113455,1.33164597537009E-05
2.198599338,NA,NA,NA,NA,NA,-0.057546067,NA,NA,NA,-0.003880144,NA
2.215654565,NA,NA,NA,NA,NA,-0.049877225,NA,NA,NA,-0.007566592,2.48828534945381E-05
1.806890893,NA,NA,NA,NA,NA,-0.051328621,NA,0.000306032,NA,NA,NA
2.126424704,NA,NA,NA,NA,NA,-0.086039314,NA,0.000738863,-3.87463977679635E-07,NA,NA
2.590117347,NA,NA,NA,NA,NA,-0.102319925,NA,0.000406234,-1.86267153928656E-07,-0.003495011,NA
2.5969241,NA,NA,NA,NA,NA,-0.093712131,NA,0.000390436,-1.72576683883723E-07,-0.007085847,2.41659085301191E-05
2.460459019,NA,NA,NA,NA,NA,-0.086913906,NA,0.000193732,NA,-0.003630549,NA
2.477237877,NA,NA,NA,NA,NA,-0.079227631,NA,0.000193538,NA,-0.00731152,2.48420546539281E-05
1.532895674,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00375627,NA
1.644151856,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007651288,2.61740630784133E-05
1.228242961,NA,NA,NA,NA,NA,NA,NA,0.000278076,NA,NA,NA
1.171015808,NA,NA,NA,NA,NA,NA,NA,0.000607875,-3.08656240751327E-07,NA,NA
1.448565893,NA,NA,NA,NA,NA,NA,NA,0.000257315,-9.67520781811685E-08,-0.003431209,NA
1.561667735,NA,NA,NA,NA,NA,NA,NA,0.000253736,-8.99997830011511E-08,-0.007386626,2.65818641853186E-05
1.472237435,NA,NA,NA,NA,NA,NA,NA,0.000150868,NA,-0.003512523,NA
1.58439658,NA,NA,NA,NA,NA,NA,NA,0.000154737,NA,-0.00748724,2.67499612720968E-05
