binomial,estimated_pop,AdultBodyMassG,estimated_mass,pop_density,Range
Apodemus gurkha,77013.2409751789,39.9,3.07282831490964E-06,6.06066578799031,12707.059532599
Apodemus hyrcanicus,1047037.71342956,63.85388804,6.68574289269887E-05,21.5605787015291,48562.597874764
Apodemus latronum,5168948.96587297,35.2,0.000181947003599,9.62758296590263,536889.579054212
Apodemus mystacinus,11736957.6536271,43.84,0.000514548223535,14.5914227828228,804373.763156529
Apodemus pallipes,6504753.41114224,63.85388804,0.000415353796043,8.30397229999351,783330.335910119
Apodemus peninsulae,112129452.930345,32.9,0.003689059001408,12.5920627422508,8904772.41303056
Apodemus ponticus,6767873.33499422,26.7,0.000180702218044,19.4685782779309,347630.589063924
Apodemus rusiges,1282513.92314943,21.5,2.75740493477128E-05,11.3743386576545,112755.032336439
Apodemus semotus,1057348.06318256,25.77,2.72478595882147E-05,31.1765083940905,33914.8967490851
Apodemus speciosus,12966744.1977541,43.75,0.000567295058652,35.1647317893138,368742.872132316
Apodemus sylvaticus,104597141.065743,21.9,0.00229067738934,20.9105309265732,5002127.46548776
Apodemus uralensis,121039568.928534,18.26,0.002210182528635,16.7042392400297,7246038.99580633
Apodemus witherbyi,30268817.0679267,20.66,0.000625353760623,19.1456404417371,1580976.99369415
Apomys camiguinensis,4407.14158669543,32.69125,1.44074967396057E-07,59.7857898341964,73.7155367340254
Apomys gracilirostris,5409.69231056753,32.69125,1.76849603747841E-07,9.46842491868867,571.340255324826
Apomys hylocetes,58223.2724367463,34.88,2.03082774259371E-06,13.2346870367971,4399.29348346999
Apomys insignis,3630618.01488742,34.88,0.000126635956359,38.2332377254553,94959.7321827179
Apomys littoralis,500049.705854213,30.95,1.54765383961879E-05,63.3073868983023,7898.75763878074
Apomys microdon,2471025.70889899,34.98,8.64364792972865E-05,39.8833042902394,61956.3938563566
Apomys musculus,1496486.77489779,21.2,3.17255196278331E-05,31.3242720387522,47774.0320045248
Apomys sacobianus,8708.82564521477,34.88,3.03763838505091E-07,9.1529538668277,951.477061058665
Aproteles bulmerae,222.081066279861,623.91,1.38558598062668E-07,4.61176525767811,48.1553274876945
Arborimus albipes,1478384.12909619,23,3.40028349692124E-05,19.0137630728097,77753.3686222442
Archboldomys luzonensis,252.449508884783,35.34,8.92156564398822E-09,11.365815113616,22.211298209695
Arctictis binturong,1923889.6986345,12999.99,0.025010546843352,0.653740015967655,2942897.25524419
Arctocebus aureus,1773937.86774253,234.16,0.000415385291111,2.65765031369104,667483.5506402
Arctocebus calabarensis,569340.430608784,258.01,0.000146895524501,3.83554406640832,148437.984481801
Arctogalidia trivirgata,5938214.01525642,2323.79,0.013799162346513,2.33815210463823,2539703.89842333
Arctonyx collaris,742254.244790642,8166.52,0.006061634135168,0.5404958490819,1373283.89487441
Arielulus aureocollaris,32984.2105248859,10.4,3.43035789458814E-07,13.1767551573951,2503.21191605161
Arielulus circumdatus,3084810.24525818,10.4,3.20820265506851E-05,18.1213299893448,170230.896246138
Arielulus cuprosus,223103.620484782,10.4,2.32027765304173E-06,84.8301146129215,2630.00493990607
Arielulus societatis,191118.948144268,10.4,1.98763706070039E-06,15.5659041761668,12278.0498955463
Arielulus torquatus,977140.999329634,10.4,1.01622663930282E-05,27.2165066254129,35902.5136024344
Artibeus amplus,16956075.899423,61.04,0.001034998872901,10.3278417100422,1641783.09229273
Artibeus concolor,73385798.5095824,19.65,0.001442030940713,11.3993262079533,6437731.24576267
Artibeus fimbriatus,22256534.9270324,63.89,0.001421970016488,15.0338247298796,1480430.65067785
Artibeus fraterculus,4761707.02517356,29.86285714,0.000142198176635,15.7635499278449,302070.729434012
Artibeus hirsutus,4306997.33294647,40.42,0.000174088832198,18.8234195484475,228810.568763086
Artibeus inopinatus,904681.745062354,29.86285714,2.7016381709963E-05,21.9924890179121,41135.9416537857
Artibeus jamaicensis,37291009.7684977,43.63,0.0016270067562,23.9060829645389,1559896.27509506
Artibeus lituratus,152386612.553624,59.3,0.00903652612443,10.7043499221572,14235952.0813305
Artibeus obscurus,120389862.687612,35.91,0.004323199969112,10.8235485849404,11122956.7403725
Artibeus planirostris,92417987.669575,29.86285714,0.002759865162943,11.6881477301936,7906983.19382417
